Name,Job_Title
Reed Hastings,"Chairman of the Board, President, Co-Chief Executive Officer, Co-Founder"
Theodore A. Sarandos,"Co-Chief Executive Officer, Chief Content Officer, Director"
Spencer Adam Neumann,Chief Financial Officer
Gregory K. Peters,"Chief Operating Officer, Chief Product Officer"
Marian Lee,Chief Marketing Officer
Rachel Whetstone,Chief Communications Officer
David A. Hyman,"Chief Legal Officer, Secretary"
Jay C. Hoag,Lead Independent Director
Richard N. Barton,Independent Director
Rodolphe Belmer,Independent Director
Mathias Dopfner,Independent Director
Timothy M. Haley,Independent Director
Leslie Jean Kilgore,Independent Director
Strive T. Masiyiwa,Independent Director
Ann Mather,Independent Director
Bradford Lee Smith,Independent Director
Anne M. Sweeney,Independent Director
